2023 Index,Street Name,Limit 1,Limit 2,Full Name,Facility Type,Ped_Total,Ped_Female,Ped_Male,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Male,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Bike_Weekdayshare,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bike_Weekendshare,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Male,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female,Other_Male,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet
23-36,Main St,Arcadia St,Aliso St,Main St bw Arcadia St & Aliso St,Protected Lane,543,207,336,6,1,336,114,222,3,0,207,93,114,3,1,180,18,162,25,20,0,84,129,16,113,12,1,0,68,51,2,49,13,19,0,16,30,6,24,9,5,7,20,4,16,6,0,6,10,2,8,3,5,1,6,0,6,5,0,0,3,0,3,2,0,0,3,0,3,3,0,0
23-38,Manchester Ave,Broadway,Main St,Manchester Ave bw Broadway & Main St,None,417,99,318,8,3,284,79,205,5,2,133,20,113,3,1,83,8,75,82,0,0,13,57,5,52,57,0,0,6,26,3,23,25,0,0,7,6,0,6,6,0,0,4,0,4,4,0,0,2,0,2,2,0,0,12,0,12,12,0,0,11,0,11,11,0,0,1,0,1,1,0,0
23-95,Martin Luther King Jr Bl,Woodlawn Ave,Wall St,Martin Luther King Jr Bl bw Woodlawn Ave & Wall St,Lane,"1,028",543,485,8,35,863,489,374,7,31,165,54,111,1,4,171,14,157,90,17,0,34,140,12,128,74,13,0,30,31,2,29,16,4,0,4,15,0,15,5,1,0,13,0,13,4,0,0,2,0,2,1,1,0,4,0,4,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0
23-39,Nordhoff St,Valjean Ave,Woodley Ave,Nordhoff St bw Valjean Ave & Woodley Ave,None,147,46,101,3,0,128,46,82,3,0,19,0,19,0,0,20,5,15,15,0,0,9,13,0,13,10,0,0,4,7,5,2,5,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0
23-40,Ohio Ave,Sepulveda Blvd,Pontius Ave,Ohio Ave bw Sepulveda Blvd & Pontius Ave,Lane,274,109,165,1,7,228,94,134,1,6,46,15,31,0,1,381,48,333,20,3,0,311,283,17,266,16,1,0,220,98,31,67,4,2,0,91,54,9,45,13,0,10,44,6,38,13,0,6,10,3,7,0,0,4,9,0,9,3,2,0,6,0,6,2,1,0,3,0,3,1,1,0
23-96,Olive St,7th St,8th St,Olive St bw 7th St & 8th St,Protected Lane,"2,891",872,"2,019",13,12,"1,361",444,917,8,6,"1,530",428,"1,102",5,6,257,10,247,123,7,6,114,132,4,128,63,7,3,56,125,6,119,60,0,3,58,153,17,136,88,10,34,74,6,68,39,5,11,79,11,68,49,5,23,44,6,38,34,0,1,17,0,17,14,0,1,27,6,21,20,0,0
23-99,Orange Line Bike Path,Baird Ave,Reseda Blvd,Orange Line Bike Path bw Baird Ave & Reseda Blvd,Path,498,167,331,3,4,498,167,331,3,4,,,,,,140,19,121,0,0,0,87,140,19,121,0,0,0,87,,,,,,,,1,0,1,0,0,0,1,0,1,0,0,0,,,,,,,12,2,10,0,0,4,12,2,10,0,0,4,0,,,,,
23-42,Pacific Ave,6th St,7th St,Pacific Ave bw 6th St & 7th St,Lane,563,178,385,8,11,343,104,239,6,7,220,74,146,2,4,56,2,54,18,8,0,7,45,2,43,13,8,0,3,11,0,11,5,0,0,4,15,2,13,8,2,0,14,2,12,8,2,0,1,0,1,0,0,0,19,2,17,8,4,0,12,0,12,6,3,0,7,2,5,2,1,0
23-43,Pico Blvd,Western Ave,Manhattan Pl,Pico Blvd bw Western Ave & Manhattan Pl,None,767,353,414,0,13,568,285,283,0,13,199,68,131,0,0,88,3,85,59,2,0,15,63,2,61,45,2,0,10,25,1,24,14,0,0,5,4,0,4,3,0,0,3,0,3,2,0,0,1,0,1,1,0,0,2,1,1,2,0,0,2,1,1,2,0,0,0,0,0,0,0,0
23-44,Red Car Bridge,-,-,Red Car Bridge bw - & -,Path,63,23,40,0,4,40,11,29,0,0,23,12,11,0,4,93,9,84,0,0,0,65,55,3,52,0,0,0,39,38,6,32,0,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1,3,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0
